Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2018-06-17,616.994242,506.299589,487.704958,1610.998789,610.756953375,129.289284,620.9615369312,787.66056283466,454.26251102767,1810711.300371,1765669.920709,1791558.838623
2018-06-10,616.54644,505.964424,487.487925,1609.998789,610.390976625,129.058515,620.57936113836,787.17691973262,453.98180254406,1807919.830371,1762921.460709,1788783.208623
2018-06-03,616.157127,505.620913,487.220749,1608.998789,610.033745875,128.936378,620.19718534553,786.69327663057,453.70109406044,1805147.440371,1760220.780709,1786010.858623
2018-05-27,615.806946,505.234631,486.957211,1607.998788,609.6925705,128.849735,619.8150095527,786.20963352852,453.42038557682,1802405.200371,1757543.970709,1783286.848623
2018-05-20,615.421325,504.871886,486.705577,1606.998788,609.355297,128.715748,619.43283375987,785.72599042648,453.13967709321,1799662.960371,1754834.790709,1780553.558623
2018-05-13,615.05457,504.444445,486.499772,1605.998787,609.026306,128.554798,619.05065796704,785.24234732443,452.8589686096,1796920.860371,1752160.650709,1777831.098623
2018-05-06,614.719464,504.034871,486.244453,1604.998788,608.701616375,128.475011,618.66848217421,784.75870422238,452.57826012598,1794219.590371,1749566.030709,1775133.308623
2018-04-29,614.435513,503.621291,485.941984,1603.998788,608.372762375,128.493529,618.28630638138,784.27506112033,452.29755164236,1791536.720371,1746953.360709,1772497.638623
2018-04-22,614.066428,503.245897,485.686463,1602.998788,608.046399,128.379965,617.90413058855,783.79141801829,452.01684315875,1788819.230371,1744340.690709,1769858.238623
2018-04-15,613.688594,502.915922,485.394272,1601.998788,607.71956725,128.294322,617.52195479571,783.30777491624,451.73613467514,1786101.740371,1741701.440709,1767149.598623
2018-04-08,613.427724,502.604328,484.966736,1600.998788,607.38415075,128.460988,617.13977900288,782.82413181419,451.45542619152,1783429.660371,1739127.830709,1764507.408623
2018-04-01,613.108758,502.289673,484.600357,1599.998788,607.02069375,128.508401,616.75760321005,782.34048871214,451.1747177079,1780754.880371,1736574.030709,1761862.718623
2018-03-25,612.789397,501.962328,484.247064,1598.998789,606.650822875,128.542333,616.37542741722,781.8568456101,450.89400922429,1778015.740371,1733988.140709,1759257.718623
2018-03-18,612.457053,501.579539,483.962198,1597.99879,606.264908125,128.494855,615.99325162439,781.37320250805,450.61330074067,1775238.630371,1731293.550709,1756545.788623
2018-03-11,612.088632,501.161256,483.748902,1596.99879,605.86371825,128.33973,615.61107583156,780.889559406,450.33259225706,1772436.730371,1728591.810709,1753796.308623
2018-03-04,611.824606,500.709111,483.465074,1595.998791,605.440939375,128.359532,615.22890003873,780.40591630396,450.05188377344,1769675.210371,1725944.490709,1751069.508623
2018-02-25,611.451774,500.316047,483.23097,1594.998791,604.990323,128.220804,614.8467242459,779.92227320191,449.77117528983,1766886.060371,1723246.720709,1748355.678623
2018-02-18,611.005262,499.990466,483.003063,1593.998791,604.51161925,128.002199,614.46454845306,779.43863009986,449.49046680621,1764131.640371,1720609.640709,1745654.348623
2018-02-11,610.520068,499.689783,482.78894,1592.998791,604.022922625,127.731128,614.08237266023,778.95498699782,449.2097583226,1761403.970371,1718076.950709,1742955.718623
2018-02-04,610.149791,499.410186,482.438814,1591.998791,603.531753375,127.710977,613.7001968674,778.47134389577,448.92904983898,1758564.710371,1715483.880709,1740274.058623
2018-01-28,609.702079,499.14548,482.151232,1590.998791,603.03061875,127.550847,613.31802107457,777.98770079372,448.64834135537,1755691.840371,1712670.840709,1737450.248623
2018-01-21,609.247534,498.840285,481.910972,1589.998791,602.53935175,127.336562,612.93584528174,777.50405769167,448.36763287175,1752838.870371,1709892.460709,1734612.708623
2018-01-14,608.706401,498.595312,481.697078,1588.998791,602.0599705,127.009323,612.55366948891,777.02041458963,448.08692438814,1750031.330371,1707156.400709,1731810.148623
2018-01-07,608.219675,498.332775,481.446341,1587.998791,601.603864625,126.773334,612.17149369608,776.53677148758,447.80621590452,1747272.190371,1704458.630709,1729061.918623
2017-12-31,607.622144,498.085861,481.290785,1586.99879,601.17191475,126.331359,611.78931790325,776.05312838553,447.52550742091,1744557.820371,1701785.020709,1726348.858623
2017-12-24,607.095689,497.818665,481.084436,1585.99879,600.758275125,126.011253,611.40714211042,775.56948528348,447.24479893729,1741863.380371,1699108.910709,1723666.238623
2017-12-17,606.590714,497.579859,480.828217,1584.99879,600.35412375,125.762497,611.02494738519,775.08579530204,446.96409946828,1739168.410371,1696456.900709,1720986.988623
2017-12-10,606.140714,497.311109,480.546967,1583.99879,599.96354475,125.593747,610.64276272035,774.60208531895,446.68344012169,1736496.530371,1693832.150709,1718324.138623
2017-12-03,605.771943,497.022072,480.204774,1582.998789,599.581802,125.567169,610.26053872704,774.11831762464,446.40275982939,1733831.340371,1691211.830709,1715694.868623
2017-11-26,605.412484,496.697748,479.888558,1581.99879,599.196448,125.523926,609.87831130256,773.63451565956,446.1221069455,1731196.450371,1688622.660709,1713068.798623
2017-11-19,605.057554,496.342818,479.598417,1580.998789,598.811526375,125.459137,609.49605530987,773.15066076203,445.84144985766,1728595.260371,1686065.210709,1710466.378623
2017-11-12,604.764076,495.98847,479.246243,1579.998789,598.429304375,125.517833,609.1138007556,772.66677633019,445.56082518096,1725999.790371,1683507.760709,1707901.758623
2017-11-05,604.313027,495.670288,479.015474,1578.998789,598.033597,125.297553,608.73151443468,772.18283725877,445.28019161053,1723402.770371,1680941.590709,1705307.378623
2017-10-29,603.862478,495.406552,478.72976,1577.99879,597.642660875,125.132718,608.34918732601,771.6988397727,444.99953487926,1720814.370371,1678397.590709,1702728.018623
2017-10-22,603.466082,495.133279,478.39943,1576.998791,597.271446375,125.066652,607.96677855692,771.21478330583,444.71877380795,1718236.080371,1675853.590709,1700170.868623
2017-10-15,603.086772,494.7919,478.12012,1575.998792,596.918531375,124.966652,607.5842638167,770.7306802822,444.43784735114,1715671.970371,1673305.640709,1697609.608623
2017-10-08,602.689111,494.458567,477.851114,1574.998792,596.577906125,124.837997,607.20172044705,770.24649222329,444.15694867076,1713116.730371,1670773.840709,1695054.368623
2017-10-01,602.333111,494.142567,477.523114,1573.998792,596.244270625,124.809997,606.81917707741,769.76230416438,443.87604999038,1710576.200371,1668277.930709,1692516.628623
2017-09-24,601.999778,493.763257,477.235758,1572.998793,595.91305175,124.76402,606.43655408843,769.27805633171,443.5950518451,1708064.450371,1665789.900709,1690009.588623
2017-09-17,601.598417,493.436726,476.963649,1571.998792,595.578360625,124.634768,606.05391164725,768.79376093858,443.31406235588,1705555.600371,1663298.550709,1687501.348623
2017-09-10,601.185538,493.069302,476.743952,1570.998792,595.25076525,124.441586,605.67128772328,768.30945563888,443.03311980763,1703057.230371,1660839.350709,1685002.978623
2017-09-03,600.892762,492.719492,476.386538,1569.998792,594.930424875,124.506224,605.28866176622,767.8251171343,442.7522063981,1700576.850371,1658411.150709,1682537.438623
2017-08-27,600.642762,492.368428,475.987602,1568.998792,594.611380625,124.65516,604.90597262135,767.34071621567,442.47122902698,1698116.540371,1655982.950709,1680079.848623
2017-08-20,600.36177,492.03234,475.604682,1567.998792,594.2866145,124.757088,604.52325685538,766.85626310027,442.19025061044,1695641.610371,1653565.600709,1677635.808623
2017-08-13,600.020027,491.702065,475.2767,1566.998792,593.9598295,124.743327,604.14049397523,766.37174935814,441.90923859227,1693166.680371,1651127.850709,1675167.698623
2017-08-06,599.68336,491.362065,474.953367,1565.998792,593.634946,124.729993,603.75777651828,765.88726623833,441.62828679818,1690675.810371,1648665.770709,1672693.678623
2017-07-30,599.322249,491.044164,474.632379,1564.998792,593.31180725,124.68987,603.37500807185,765.4026824731,441.34733367056,1688191.770371,1646195.470709,1670216.108623
2017-07-23,598.977654,490.632002,474.389136,1563.998792,592.989516,124.588518,602.99223962543,764.91809870787,441.06638054293,1685710.080371,1643731.620709,1667738.278623
2017-07-16,598.622815,490.244905,474.131071,1562.998791,592.67664525,124.491744,602.60943305673,764.43345703415,440.78540907925,1683236.250371,1641295.870709,1665264.448623
2017-07-09,598.340408,489.823609,473.834775,1561.998792,592.367058,124.505633,602.22665078854,763.94881296183,440.5044886152,1680790.490371,1638888.170709,1662821.198623
2017-07-02,598.044633,489.417975,473.536183,1560.998791,592.062955125,124.50845,601.84390070834,763.46417789532,440.22362352131,1678347.520371,1636482.470709,1660388.658623
2017-06-25,597.74749,488.983689,473.267612,1559.998791,591.754906875,124.479878,601.46115177933,762.97951252999,439.94279102862,1675897.100371,1634063.090709,1657947.968623
